T+T^2	piecewise_linear	T^2	T^2+T^7	T^2+T^6	exp(T)	exp(exp(T))	T
-0.0393288472939291	-0.737855464061355	-0.235155957437262	-0.3507223539021	-0.361060115926276	0.0124968671012414	5.29924E-175	0.713363756737662
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.84951016727181	-2.05570874866263	-2.11640361693536	0.995426094296818	0.964278079226588	-0.37731634441208	-2.19894E-166	-2.14009127021299
-1.84951016727181	-2.05570874866263	-2.11640361693536	0.995426094296818	0.964278079226588	-0.37731634441208	-2.19894E-166	-2.14009127021299
-1.84951016727181	-2.05570874866263	-2.11640361693536	0.995426094296818	0.964278079226588	-0.37731634441208	-2.19894E-166	-2.14009127021299
-6.65026539827403	-6.28966536881424	-8.46561446774142	-5.16833025705259	-5.41317162026835	-7.95591771182311	-6.7	-4.28018254042597
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.32688309958942	-1.33593612323685	-1.45799045170677	0.85794494422664	0.859920593422424	-0.218678693038402	-7.19971E-170	-1.77627575427678
-1.32688309958942	-1.33593612323685	-1.45799045170677	0.85794494422664	0.859920593422424	-0.218678693038402	-7.19971E-170	-1.77627575427678
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-0.288587270898338	0.737855464061355	-0.235155957437262	0.3507223539021	0.360735246340068	-0.0339700067539723	-5.17435E-174	-0.713363756737662
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-0.133802428355931	0.442713278436813	-0.0846561446774143	0.210448273237093	0.216531030122196	-0.0162530853433272	-1.44241E-174	-0.428018254042597
-0.288587270898338	0.737855464061355	-0.235155957437262	0.3507223539021	0.360735246340068	-0.0339700067539723	-5.17435E-174	-0.713363756737662
-1.33631089885634	-1.35004931197069	-1.46972473398289	0.86101372097429	0.862587270922736	-0.221075139758661	-8.12755E-170	-1.78340939184416
-1.84951016727181	-2.05570874866263	-2.11640361693536	0.995426094296818	0.964278079226588	-0.37731634441208	-2.19894E-166	-2.14009127021299
-1.84951016727181	-2.05570874866263	-2.11640361693536	0.995426094296818	0.964278079226588	-0.37731634441208	-2.19894E-166	-2.14009127021299
-1.84951016727181	-2.05570874866263	-2.11640361693536	0.995426094296818	0.964278079226588	-0.37731634441208	-2.19894E-166	-2.14009127021299
-2.07774400291146	-2.3379725233394	-2.40799700415756	1.03312705061951	0.980459548597434	-0.465232301531561	-1.87723E-164	-2.28276402156052
-0.843703075712218	-0.531484365408044	-0.866878921496722	0.6709378796471	0.684786133400014	-0.115078909199506	-3.80357E-172	-1.36965841293631
-1.75108424657638	-1.92869005005808	-1.99132416317448	0.974768949353123	0.951575901976811	-0.343139614691554	-3.9033E-167	-2.0758885321066
-5.45401474697515	-5.44287404478392	-6.85714771887056	-1.58452638101631	-2.07870880828247	-4.35738033369624	-5.95334E-79	-3.85216428638338
-1.74031199122487	-1.91457686132424	-1.97766160204737	0.972354479181855	0.949983272206038	-0.339528606152392	-3.25167E-167	-2.06875489453922
